name,prompt,negative_prompt
古典,"(masterpiece, high quality, highres,Highest picture quality), (Master's work),(zentangle:1.2),1girl,standing, classical,",
夜晚 白毛 萝莉 连衣裙,"masterpiece, best quality, ultra-detailed, an extremely delicate and beautiful, 8k wallpaper, illustration, moonlight, detailed light, ray tracing, dramatic shadow, an extremely delicate and beautiful girl, loli, very long hair, white hair, hair flower, white dress, looking at viewer, night, tattered church, vine, weed,",
秋天 落叶 金毛 白丝 洛丽塔 贴贴,"2 girls looking at each other,full body,(loli:1.2),blonde hair,white legwear,autumn, falling leaves,standing on one leg,(from side:1.1), detached collar,bare shoulders,lolita fashion, gothic lolita, church,",
林中 精灵 白毛 绿眼睛 吊带连衣裙 小乳房,"(((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes), (detailed light) (1girl), loli, small_breasts, floating_hair, glowing eyes, pointy_ears, white hair, green eyes,halter dress, feather, leaves, nature, (sunlight), river, (forest),(bloom),",
梦幻 泡泡 粉蓝色卷毛,"(masterpiece:1.4, best quality:1.4),illustrations,(solo:1.2),(original),(very detailed wallpaper),(ultra detailed:1.4),(super-complex detail),1 girl,(pink|blue hair:1.3),(curly hair:1.3),(playful expression),(sitting:1.3),(bubble-themed outfit),(bubble skirt),(semi-transparent blouse),(bubble-patterned stockings),(colorful shoes),(cute accessories:1.2),(bubble earrings),(bubble necklace),(bracelets),(whimsical hair ornaments),(sparkling eyes),(surrounded by bubbles:1.3),(pastel color palette),(dreamy atmosphere),(light-hearted),(fun and youthful),(magical bubble powers),(floating bubbles),(bubbly personality),(soft lighting),(airy and weightless feel),(enchanted bubble land background),",
室内 齐刘海 半高髻侧辫 单辫长发 透视,"8k, best quality, ultra high res, (masterpiece:1.3),  1girl,  single braid long hair, half updo side braid,  blunt bangs, living room with indoor lights, relaxed atmosphere,see-through,",
公主 古典,"(masterpiece, high quality, highres,Highest picture quality), (Master's work),flat color, (colorful:1.1), (negative space:1.0),Tyndall Effect,light background, [(white background:1.2)::3],flower,petals, (zentangle:1.3),1girl,solo,solo focus,classical,noble,princess,collarbone, necklace,ornament,(blush:0.5),dress,  (wet, wet clothes, wet hair:0.8),bare shoulders, bare back, shiny skin, shiny hair, long hair,barefoot, bare legs,",
天使 婚纱 火焰 纹身,"1girl, portrait of a stunningly beautiful girl, exquisitely beautiful charming face, charming dark eyes, sharp eyebrows, blank expression, lovely little breasts, layered short black hair, thick eyelashes, (long hair :1.21), (white robe :1.21), standing in the burning destroyed city, blazing flames, burning black smoke rising in the sky, (Highest quality, amazing detail :1.25), (solo :1.3), brilliant and colorful paintings, tattoos like flames, wedding dress, bride, pure white wedding dress, (Burning wedding dress: 1.21), (Burning wings: 1.21), eternal burning wings carry me out of mortal perversion,",
满月 白毛 林中 蝴蝶 光腿 裸肩 连衣裙,"full moon, leaf, moon, plant, potted plant, bamboo, 1girl, palm tree, butterfly, bug, water, tanabata, branch, barefoot, night, lily pad,soaking feet,ankle cuff,vines, solo, outdoors, tree, sitting, long hair, wet, flower, smile, ivy, azure eyes,(silver hair), dress, lily of the valley, sky, hair ornament, bangs, blue butterfly,bare legs, looking at viewer, palm leaf,(stars:1.2),(azure eyes:0.8),(pure white dress:1.2),hairs between eyes,(bare back:1.2),(bare shoulders:1.2),caustic,cinematic lighting, landscape, hdr, lens flare, dynamic angle,",
芭蕾舞 脚尖旋转 舞台 oc渲染,"(unique), (ultra-detailed wallpaper), (highest quality), (masterpiece), photo-realistic, lifelike, intricate illustrations, (1 girl), enchanting eyes, (refined face), flawless detail, (optimal lighting), highly complex details, (ballet outfit), graceful pose, elegant expression, lithe figure, pirouette, ballet shoes, stage background, (4K unified), (extremely detailed CG), (8K), realistic, octane rendering,",
粉毛 透明 翅膀 纹身,"1girl,lightpink hair,long hair,(otherworldly beauty), (mystical realm), (prismatic colors), (cosmic backdrop), (spellbinding protagonist), (gossamer wings), (ethereal glow), (translucent garments), (detailed facial features), (intricate tattoos), (shimmering crystal adornments), (floating islands), (whirling vortex), (majestic celestial creatures), (infinite wonder), masterpiece, best quality,cowboy shot,",
旗袍 站立 萝莉 小乳房 俯视广角镜头,"(((masterpiece))),((illustration)),(ultra-detailed),(extremely detailed CG unity 8k wallpaper),(highly detailed),gaki5,best quality,(supper detailed),the most beautiful,detailed lighting,(cinematic lighting),lens flare,(looking at viewer),from above,wide shot,loli,((panorama)),(solo),(an extremely delicate and beautiful Goddess:1.3),beautiful detailed face,small breast,(china dress:1.6),small breasts,blue hair,long hair,((full body)),standing,",
浮岛 宫殿 淡粉色长发 全身 透明连衣裙 闪亮饰品,"(extremely detailed CG unity 8k wallpaper),(((masterpiece))), (((best quality))), ((ultra-detailed)), (best illustration),(best shadow), ((an extremely delicate and beautiful)),(floating castle,  floating palace),  (floating feathers),  fairyland,  dynamic pose,  spring, nature,  sunlight,  wind,  floating colorful bubbles, mist, flowers, mew,1girl, full body, (shiny hair),  (lightpink hair),  (suframare beauty), white see-through dress, silk,  tullece, (translucent garments),  melowh,  (shimmering crystal adornments), shone,",
星空 夜晚 花瓣 灰毛 裸肩 黑色连衣裙 ,"1girl, flower, detailed eyes, gradient eyes, aqua eyes,pink eyes, eye glitter, solo, long hair, dress, hair ornament, grey hair, sky, star (sky), hair flower, black dress, night sky,  breasts, starry sky, long sleeves, night, ribbon, white dress, petals, jewelry, bare shoulders,",
海底 蓝白洛丽塔连衣裙 星星眼 泡泡 热带鱼 动态姿势 调整裙子,"best quality, perfect lighting, loli, (solo), detailed eyes, blue eyes, Multicolored pupils, (gradient hair <white :Yellow>::1.1), long hair, looking away, star Next to the eyes, adjusting star, (Healthy laughter:0.8), (Gorgeous blue dress), tea party, Afternoon, dynamic pose, Headbands, outdoor, adjusting dress, White lace in dress, (full body:1.1), alice dress(Blue and white), (More clothing patterns), (Very gorgeous Lolita costume:1.2), poker dress, dream atmosphere, Floating Bubbles, Multi-colored bubbles, incredib, The underwater world, Lots of tropical fish, in bubble, barefoot,",
城市 樱花 粉毛 御姐 婚纱 ,"masterpiece,cityscape,(best quality:1.05), (masterpiece:1.1025), (highres:1.05), original, extremely detailed 8K wallpaper, full body,solo,Aestheticism Painting,highres,Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG,beautiful detailed eyes,1girl,finely detail,intricate detail,(an extremely delicate and beautiful girl),finely detail,Depth of field,(full body),highly detailed,detailed clothes, detailed face, detailed eyes,detailed background,detailed skin,cityscape,lens flare ,necklace, tassel,earrings,hair ribbon,ribbon,nature,Cherry blossoms,standing, hair ornament,hair stick,(((white skirt)),wedding dress, bridal veil,medium_breasts,parted lips,seductive smile ,very_long_hair,wavy_hair,pink_hair,slim waist,mature female,(an extremely delicate and beautiful:1.05),female focus, beautiful face,prefect face,delicate face, tall,",
教堂 花窗玻璃 萝莉 白毛 天使 十字架  小乳房 裸肩 透明连衣裙 赤脚 浮空,"(masterpiece, high quality, highres,Highest picture quality), (Master's work),(religion theme :1.25),blurry background,warm light,, (colorful:0.7),(church:1.1), (Flower window glass,tyndall effect:1.05), floating white feathers, (halo:0.95),light on face,(zentangle:1.3),(closed eyes:0.55),eyelashes,(1loi:1.1),angel,angel wings,white wings,huge wings,solo,collarbone,(crucifix:1.1) necklace,ornament,(blush:0.6), (ahoge:1), (makeup:0.5), small breasts, (head tilt:0.75),white dress,see-through, floating in the air, graceful,noble, barefoot, Standing at an angle,(from side:0.8),bare shoulders, shiny skin, shiny hair,long hair, peaceful,(bright pupils:1.1), yellow eyes, white hair, floating hair,cold face,",
黄毛 猫娘 白色连衣裙 红色指甲 沙发 食物印花,"1girl, long hair, red footwear, cat ears, flower, looking at viewer, ribbon, bow, hair ornament, bangs, red nails, white dress, solo, frills, blonde hair, frilled dress, nail polish, cat girl, twintails, standing, socks, hair bow, full body, long sleeves, candy, red bow, :o, wavy hair, hair ribbon, blush, cherry, animal ear fluff, armchair, brown eyes, blunt bangs, chair, couch, white flower, food print,",
夜晚 白毛 蓝色发光眼睛 法式辫子 乳沟 雪纺连衣裙 落地窗 蓝色蝴蝶,"(best quality), (masterpiece), incredibly_absurdres, highly detailed, refined rendering, illustration, (highres), original,floating,close up,flat shading,(upper body:0.85),one girl,(azure blue eyes:1.324,(glowing eyes:1.233),(beautiful and detailed eyes:1.1),(Silver hair:1.14),(messy hair,very long hair,french braid,hair between eyes,sidelocks), (chiffon dress),(bule flower pattern in uniform),(detached sleeves),(wide sleeves),choker,(standing),(cleavage:1.012),(classical Princess boudoir with dressing table),(french window),(white flowers,bloom),(abysmal sea),(flowing water),(ruins),(night:1.2),(fluorescence),(flying translucent blue butterflies:1.15),",
花草地 金毛 婚纱 花束,"(best quality), ((masterpiece)), (highres),extremely detailed 8K wallpaper, 1girl,game cg,maiden, cinematic angle,delicate skin, blush,aquagradient eyes, (detailed eyes),(gradient  blonde hair),(gradient blue eyes), Cherry blossoms,flying petals,mountain,flowers meadows, detailed background, outdoors, (delicate wedding dress), neck ribbon, bridal gauntlets, bridal veil, hair ornament, hair flower, bouquet,wedding band,",
废墟 白毛 短发 萝莉 全身 侧面 白色连衣裙 白色丝袜 吹起裙子,"masterpiece, best quality, illustration, official art,extremely detailed CG unity 8k wallpaper, HD background, (1girl), ((solo)), (full_body), ((loli)), (little girl)), lookl at  viewers, A picture full of tension, Side face, in Amid the ruins, ((white_hair)), short_hair, Golden_eyes, white_Dress, The wind blows up the skirt, White silk stockings,",
粉毛 妹妹 嫌弃 丝袜 骆驼趾,"(best quality), (masterpiece), (highres), original, extremely detailed 8K wallpaper, 1girl, (an extremely delicate and beautiful),little girl,pink hair,pink eyes,sister, twintails,contempt eyes,trample,foot focus,frown,jitome,(from below),loli,(white legwear|black legwear),cameltoe",
白毛 短发 波浪嘴 衬衫 背心 黑色短裙 提衣服 白色裤袜下的内裤 下面视角,"(masterpiece:1.2),illustration,beautiful detailed,colourful,finely detailed,dramatic light,intricate details,perfect anatomy,1girl,solo,looking at viewer,blush,short hair,open mouth,bangs,white pantyhose,panties under pantyhose,skirt,silver hair,shirt,eyes,long sleeves,ribbon,hair between eyes,underwear,standing,panties,hair ribbon,white shirt,cowboy shot,small breasts,shiny,collared shirt,tears,black skirt,clothes lift,vest,shiny hair,red ribbon,ascot,nose blush,wavy mouth,skirt set,wet clothes,black vest,(from below:1.5),",
花园 萝莉 白毛 动物耳朵 湿身 蕾丝 礼服 丝袜 掀裙子,"((masterpiece)),((an extremely detailed and delicate)),(8k cg wallpaper),(stunning art),((illustration )),(amazing),(loli:1.3),(medium breasts),(wet see-through lace clothing:1.15),(wet:1.05),Very low lens:1.2,Focus between the legs:1.2,1girl,Kawaii girl,(Looking down:1.5),highres,blush,smile,open mouth,long white hair,flowing_hair,bangs,blue eyes,wet white lace trim rose evening dress,extremely detailed background,ancient palaces background,white lace trim silk stockings,animal ears,bare shoulders,bare navel,wet medium_breasts,(((finely detail rose fill the screen))),(((fill the screen))),(bloom:1.5),(extremely detailed European style garden),( in the garden:1.5),(beautiful butterflies flying down from the sky),(the girl is covered by colorful butterflies and rose),water,very long white ribbon,(Lift up the skirt),",
金毛 女仆 掀裙子 白色内裤 吊带袜,"(masterpiece:1,2),best quality,masterpiece,highres,original,extremely detailed wallpaper,(extremely detailed CG:1.2),(8k:1.1),adult,maid,blonde hair,long hair,wavy hair,medium breasts,(skirt lift),((white panties,legwear garter,garter belt)),earrings,jewelry,",
花园 萝莉 白毛 动物耳朵 湿身 蕾丝 礼服 丝袜 掀裙子,"((masterpiece)),((an extremely detailed and delicate)),(8k cg wallpaper),(stunning art),((illustration )),(amazing),(loli:1.3),(medium breasts),(wet see-through lace clothing:1.15),(wet:1.05),Very low lens:1.2,Focus between the legs:1.2,1girl,Kawaii girl,(Looking down:1.5),highres,blush,smile,open mouth,long white hair,flowing_hair,bangs,blue eyes,wet white lace trim rose evening dress,extremely detailed background,ancient palaces background,white lace trim silk stockings,animal ears,bare shoulders,bare navel,wet medium_breasts,(((finely detail rose fill the screen))),(((fill the screen))),(bloom:1.5),(extremely detailed European style garden),( in the garden:1.5),(beautiful butterflies flying down from the sky),(the girl is covered by colorful butterflies and rose),water,very long white ribbon,(Lift up the skirt),",
鱼眼镜头 萝莉 东亚建组 连衣裙 花卉印花 耳前侧发马尾辫,"(Highest picture quality),(Master's work),(Detailed eye description),(macro shot:1.25),(8K wallpaper),(Detailed face description),depth of field,(lens flare),falling petals,(standing:0.85),(close-up:0.8),(fisheye:1.2),(1loli:1.2),(from above:1.2),1girl,solo,long hair,outdoors,brown hair,looking at viewer,long sleeves,blue eyes,braid,bangs,grass,dress,blush,smile,flower,full body,tree,day,hair ornament,cloud,parted lips,floating hair,tassel,hair ribbon,floral print,sky,medium breasts,braided ponytail,butterfly,water,closed mouth,socks,single braid,white socks,cloudy sky,east asian architecture,red flower,sidelocks,branch,mountainous horizon,white flower,rope,obi,Dynamic angle,colorful,floating wind,",
概念艺术 蓝毛 白色泳衣连衣裙 彩色水晶翅膀 斗篷 全身,"((Masterpiece)), ((Very detailed)), ((Best Quality)), ((8K wallpaper)),Fantasy, Multiverse, Concept Art, (1 girl:1.5, solo, colored eyes, white swimsuit, porcelain dress, ( colorful wings, crystal wings:1.5), long hair, light blue hair, cape, (rolling bubbles), neon signs, colored bubbles with black background, flowing, floating hair, dynamic pose, sunlight, ray tracing, rose graffiti, flowing in the air, full body, from the front,",
2女孩 贴贴 吐舌头 蕾丝褶边彩色内衣 淫纹,"2girls, show public crotch tattoo all girls, all girls show upper abdomen and  navel and lower abdomen, medium breasts, ((detailed lace frilled colorful panties and bra)), ((huddling together)), side by side, facing one another, tongue out, put heads together, nsfw, from above, on bed, ahegao, female orgasm, blush,",
教堂 天使 萝莉 触手 怀孕,"nsfw,masterpiece,(best quality),(extremely detailed CG),cinematic lighting,intricate detail,sharp focus,(loli girl:1.22)solo,detailed background,many frills,illustration,(loli girl:1.22),( angel wings:1.3),(pregnant),(white  hair:1.16),empty eyes,arms up,spread legs,tentacles,full body,(lactation),((giving birth)),no pupils,child,crying,despair face,(Church of evil god with evil tentacles:1.3),stained glass,highly detailed skin,texture hair,detailed big blue eyes,",
nsfw 头冠 透明 褶皱连衣裙,"nsfw, 1girl, standing, front view, aqua eyes, absurdly long brown hair, closed mouth, earrings, tiara, looking at viewer, see-through, insanely frilled long sleeve white dress, completely white dress, long hair, solo, (waifu, anime, exceptional, best aesthetic, new, newest, best quality, masterpiece, extremely detailed:1.2), beautiful knee, wdgoodprompt,",
运动服 透明 巨乳 汗水,"nsfw, (Hetero:1.103), (girl and boy:1.103), loli girl, 12 years old, 120cm girl, Very small girl, huge breasts, (Breasts swaying:1.103), slim waist, shiny hair, child-faced, Long eyelashes, half closed eyes, wearing clothes, (crop top, Athlete:1.103), see-through, sweaty clothes, wet clothes, (sweat:1.158), (Running form, sprint:1.341), (wind:1.103), (Highly detailed scenery:1.103), (street:1.05), (dynamic angle:1.158), (bright:1.05), (lens flare:1.05), (crowd, curious onlookers, rubbernecks:1.216), (multiple boys:1.158), (face and body of a Adult man:1.158), (naked man:1.158), realistic, (masterpiece:1.216), (lens 135mm f1.8:1.216), (hyper extreme detailed body:1.341), (finely detailed beautiful eyes and face:1.341), (high resolution:1.552), (best quality:1.552), (4k, 8k, 16k:1.552), (100-layer:1.552),",
巨乳 奶牛 短发 白毛 精灵 精液 人群,"masterpiece,best quality,ultra-detailed,illustration,extremely detailed CG unity 8k,(1girl:1.35),(((crowd and onlookers))),(skimpy:1.2),Gorgeous embroidery,(white striped_dress),gold_trim,tiara,groin,(side_slit),frills,gloves,girl with (fair skin:1.11) and (large breasts:1.5),(gigantic breasts:1.35),breast expansion,plump,(CHUBBY:0.75),(wide hips:1.2),(thick thighs:1.22),(oiled:1.25),wet skin,skindentation,jewelry,bracelet,ELF,white hair,short_hair,wavy hair,steam,off_shoulder,juliet_sleeves,frilled_sleeves,white flower hair ornament,oppai_(((loli))),chibi,sweat,chain,covered_erect_nipples,hairclip,neck_ribbon,(shiny skin:1.25),FOG,(onlookers in the background),park with lots of people,Clouds,naughty face,naughty SMILE,tongue out,embarassed,(bags),stylish pose,++++++++++,tassels,SIDE,(cum on breasts:1.3),red_eyes,white thighhighs,",
金毛 萝莉 坐着 提裙子 阴道,"1girl,nsfw,vaginal,lift skirt ,happy sex,(tilting head),beautiful blue eyes,best quality, clear face, close up of cute clear 10yo low teenage cute delicate girl, lifted skirt, (shy blush:1.1), (small breasts:1.1), extremely detailed frilled panties, slight smile, looking at viewer, insanely frilled white dress, extremely detailed excess frilled skirt, absurdly long blonde hair, sitting, shiny skin, small tiara, extremely detailed delicate, backlighting, masterpiece,perfect anatomy , best quality,ultra-detailed,dynamic angle and lighting,caucasian,",
萝莉 齐刘海 双马尾 运动衫 腹股沟 体操灯笼裤,"(masterpiece:1.2), sigma 135mm lens, perfect lighting, (extremely detailed CG:1.2), (8k:1.1), best quality, highres, original, extremely detailed wallpaper, blunt bangs, (black and two-side-up hair:1.3), (1 girl 11yo:1.3), smile, Looking Up, (flat breasts:1.3), (Cheeky little bitch:1.3), red eyes, (tsurime:1.3), A mole under her right eye, She is showing her double teeth, (posing:1.3), (white gym shirt:1.2), (dark-blue Fitness gym bloomers:1.1), Groin, Raw legs, (Slightly open crotch:1.1), (crotch seam:1.3), (thicc:1.2), (LOLI:1.3), (pulling back her hips:1.1), sweating, :o, headband, sunlight, wind, trackside, best quality, ",
萝莉 短裤 精液流出阴道 骆驼趾,"1girl, loli, nsfw, bike shorts, wet shorts, pussy open wide under shorts, cum inside a lot, semen overflow from pussy and anal, vibrator spray from pussy, camel toe, (best quality:1.2), ",
2女孩 开叉旗袍 连裤袜,"2girls, masterpiece, best quality, ultra-detailed, illustration, ray tracing, dim light, detailed background bedroom, long disheveled silver-haired, yet small slim girls with high ponytails are lying, and the girls wear intricate black high slit cheongsams with pantyhose and white fur trim elbow gloves,",
2萝莉 夜晚 贴贴 泳衣 骆驼趾,"nsfw, blue eyes, masterpiece, best quality, (loli:1.3),(child:1.2),clear face, cute two girls kissing each other, kissing breasts, (hug:0.8), (blush:1.4), half-closed eyes, (flat chest:1.1), absurdly short blonde hair, middle black hair, (cameltoe:0.8), standing, head to thighs,  poolside, (night, midnight:1.2), cinematic lighting, competitive swimsuit, one-piece swimsuit, (plump:0.8), , (wet skin:1.3), (wet hair:1.5), sweat, 8k wallpaper,",
金毛 萝莉 皇冠 连衣裙 骆驼趾,"best quality, 8k wallpaper, (1 loli girl:1.1), (solo:1.15), (skinny:1.2), (camel toe:1.3), ( insanely frilled white  dress, extremely detailed excess frilled skirt:1.5), (tiara:1.3), (shiny oily skin:1.1), (intricate blonde hair:1.2), (sky blue eyes:1.3), (squinting eyes:1.2), (eyelashes:1.2), Various hairstyles, (bed room:1.1), (daytime:1.2), invitation, dynamic angle, ",
14岁 冰晶娘 透明 水晶服,"masterpiece, best quality, extremely detailed CG unity 8k wallpaper, extremely detailed, art of light novel cover, highres, cel shading, (outdoors, nature, sea, blue water, blue sky with clouds:1.25), (night), stars, moon light, ice world, (frozen world), (crystal trees), (detailed blue transparent ice:1.2), (green transparent glass strips:1.2), (colorful refraction), (floating glass fragments), transparent and neon highlights, (legendary crystal elf), anthropomorphic, (crystal elements:1.8), (complex details), (1girl:1.3), (solo), (beautiful and delicate eyes), exquisite face, cowboy shot, messy floating hair, messy hair, head decoration, small breasts, (lovely), focus, (fantasy wind), (Colorful and transparent Crystal clothes (complex details):1.2), (14 years old:1.2), magic effects, ",
hiten 和服 紫色,"masterpiece,hyper detailed,highres,good anatomy, (((best quality))), ((an extremely delicate and beautiful)),an extremely detailed and delicate,8k cg wallpaper,illustration, ((greyscale with colored background)), ray tracing, bokeh, 1girl, solo, detailed face, (purple eyes:1.2), medium breasts, (japenese clothes:1.5), (purple flowers:1.2), hiten1,",
hiten 乳沟 自慰 阴部淫水,"nsfw, masterpiece, best quality, highres, ray tracing, bokeh, room, bed, light particles, brown, chromatic aberration, 1girl, solo, (large breasts), cleavage, ((nipples)), ((hand on pussy)), ((pussy juice)), saliva, black off-shoulder shirt, ((lace trim)), hiten1,",
裸体 丝袜 动物耳朵 光泽皮肤 阴道 肛门 液体 ,"masterpiece, best quality, CG, wallpaper, HDR, high quality, high-definition, extremely detailed, 1girl, nude, stockings, animal ears, wet, oiled, lubed, shiny skin, dripping, pussy juice, bodily fluids, sweat, wet skin, liquid streaks, [[anus]], ",
乳沟 睡衣 连衣裙,"(negligee:1.2), (dress:1.1), 1girl, solo, standing, cowboy shot, indoors, frills, medium breasts, cleavage, ",
乳沟 内衣 肚脐 透视,"see-through, navel, underwear, 1girl, solo, standing, cowboy shot, indoors, medium breasts, cleavage,",
乳沟 透明 乳头 连衣裙,"(see-through silhouette:1.2), white dress, sundress, cowboy shot, (wind), medium breasts, cleavage, covered nipples, (frills),",
白金毛 萝莉 护士 白丝,"1girl, (solo:1.2), (cowboy shot:1.2), (loli:1.3), (see-through), nurse, nurse cap, (white gloves:1.2), (white pantyhose), high heels, (Beautiful and detailed eyes description), (Beautiful and detailed face), long hair, platinum blonde hair, low twintails, big eyes, medium breasts, blush, shy, watery lips, unbuttoned, indoors, hospital bed, window, white curtains, sunlight, lying, (best quality), (ultra detailed), (masterpiece), (highres), (original), (extremely detailed CG unity 8K wallpaper), character design, game cg, detailed manga illustration,",
白毛 双马尾 萝莉 巫女服 丝袜,"1girl, (solo:1.2), (loli:1.5), sitting, (Beautiful and detailed eyes description), (Beautiful and detailed face), long hair, white hair, big eyes, medium breasts, blush, shy, watery lips, twintails, cure lovely miko, nontraditional miko, (white gloves:1.2), (black pantyhose), high heels, indoors, shrine, torii, (full body:1.2), (best quality), (ultra detailed), (masterpiece), (highres), (original), (extremely detailed CG unity 8K wallpaper), official art, detailed manga illustration, ",
2女孩 街道 日本时尚,"masterpiece, best quality, small breast, 2 young girls, jirai fashion with pink and black, looking at viewer, night, street, shop, store, neon, ",
芭蕾舞 金色 大腿间隙,"masterpiece, best quality, highres, 1girl, wearing yellow ballet dress, wearing tutu, a ballet dancer, (in a ballet pose:1.3), (medium breasts:1.1), wide hips, thick thighs, (thigh gap:1.2), big butt, (hair flower:1.2), closed mouth, standing, in a theater, ballet corp,",
金毛 卷发 瑜伽露腹短上衣 乳头勃起,"Masterpiece, detailed light, rich in detail (beautiful delicate face), (clear face), (detailed face depiction), (exquisite), (extreme light and shadow) (a extremely delicate and beautiful), (((best quality))), ((beautiful detailed eyes)), (eyelash), extremely detailed, 8k, wallpaper, ((ultra-detailed)), ((illustration)), 1 girl, From the side, (standing :1.2), (Cream hair), (Light purple eyes), (medium  hair), (coilyhair), sexy, (tall woman), (small_breast :1.3), earings, (Harvest Gold gymtastic_yoga_croptop, cleavage, woman wearing the gymtastic_yoga_croptop:1.2), hands_on_hips, (:1.3), erect nipples, horny_face, blush,",
星空 白毛 站在水上 手背,"(best quality:1.4),(light:1.543),(full body:1.23),(Leaning forward slightly:1.183),(from below),(wind blows:1.421),(blue, red, pink, flower clusters: 1.6532),(looking at viewer) Deep view,(lights:1.1), (blue, red, pink, flower clusters: 1.6532),(Petals floating on the water:1.212),(stone),(starry sky:1.5),(shooting stars:1.5),(galaxy:1.543) (one girl:1.54), (standing in the water:1.642),bare legs,(long long white hair:1.34),(ends of the hair turn blue:1.06),(small:1.12),(white eyes:1.21),(arms behind back:1.425),(blush:1.1),(thigh:1.1),(thigh lace-up:1.3),butterfly,butterfly hair ornament,(thighs:1.08),(cleavage:1.24),necklace,(sapphire decoration),(Wide sleeves),",
灰毛 金色闪亮连衣裙 新娘内衣 提连衣裙 骆驼趾,"1girl,Shiny Gold Dress,Bridal underwear,long grey hair,large breasts,cameltoe,standing,dress lift,night,house,",
白毛 黑皮 婚纱 魅魔 淫纹,"best quality, highres, extremely detailed, 1girl, beautiful face, (white hair:1.1), (black skin:1.1), (dark skin:1.1), bridal veil, bridal gauntlets, (bridal garter:1.2), (darkness tattoo:1.2), (glowing tattoo:1.2), (pink tattoo:1.2), wings, horns, stained glass, radiant colors, vintage filter, intricate patterns, glowing light, Cowboy shot, captivating details,",
白毛 女仆 萝莉 平胸 透明连衣裙 湿身,"1girl, (solo:1.2), (full boy shot:1.2), (Beautiful and detailed eyes description), (Beautiful and detailed face), (young girl:1.5), (20 years old), long hair, platinum blonde hair, low twintails, very big eyes, small breasts, shy, blush, (loli:1.3), cure lovely maid, (see-through white maid dress:1.5), maid headdress, maid apron, (white gloves:1.2), (white pantyhose), high heels, indoors, warehouse, (sweat:1.3), (wet clothes:1.3), (soaked:1.4), walking, (best quality), (ultra detailed), (masterpiece), (highres), (original), (extremely detailed CG unity 8K wallpaper), character design, game cg, detailed manga illustration, ",
白毛 处女 教堂 白色蕾丝镶边连衣裙 丝袜 面无表情,"(best quality, ultra-detailed), (best illumination, best shadow, an extremely delicate and beautiful), dynamic angle, floating, finely detail, Depth of field, (bloom), (shine), glinting stars, (illustration), (painting), (sketch), (solo), bishoujo, light, best, medieval, ornate, colorful, golden, silver, blue, semstone color, aura, backlight, strong rim light, ray tracing, cinematic angle, adorable, 1girl, holy virgin, expressionless, very long hair, grey hair, (((detailed eyes))), looking at viewer, small breasts, lace-trimmed dress, white dress, white garter straps, tiara, hair ornament, jewelry, ribbon choker, pendant, heaven, churches, behind the virgin is the huge golden church,",
白毛 萝莉 兔女郎 鸭子坐,"(masterpiece:1.1), (best quality:1.1), 1girl, solo, wariza, long hair, white hair, loli, looking at viewer, white playboy bunny leotard, navel, open mouth, blush, blue eyes, thighhighs, collar, fitting room, window, beach, biue sky,",
金毛 粉色洛丽塔时尚 礼帽 全身,"(masterpiece:1.3), (ultra detailed:1.3), (best quality:1.2), (best illumination:1.2), (best illustration:1.2), (cinematic light:1.2), (full body:1.3), (extremely beautiful and detailed) girl, (child:1.2), cute, (lolita fasion:1.25), standing in victorian-style square, (flaxen hair:1.2), standing, long wavy hair, hair ribbon, beautiful red eyes, (long ((gorgeous)) lace-trimmed pink dress:1.2), (velvet collar:1.2), (crease:1.25), frills, neck ribbon, lace-trimmed formal hat, elegant, exquisite, luxury, splendid, romantic, decorative, ornaments, intricate, france rococo, decorative patterns, silks and satins,",
皇后 水晶 连衣裙 全身,"((masterpiece)), illustrations, (solo:1.2), (super-complex detail), (delicate face), full body, 1girl, mid shot, ((crystal queen:1.5), (ethereal:1.2), (glowing:1.2)), female, (mid shot:1.2), (mysterious:1.2), (enchanted:1.3), (otherworldly:1.1), (dazzling:1.1), (mesmerizing:1.2), (radiant:1.2), (crystalline:1.3), (diamonds:1.2), (crystal dress:1.2), (flowing hair:1.1), (glittering:1.1), (frozen flowers:1.2), (sparkling eyes:1.1), (magic:1.2), (glacier:1.1), (crystal palace:1.3), (frosty trees), (shimmering lake:1.2), dazzling aurora, (snowflakes:1.2), (frosty mist:1.1),",
白毛 金银花边连衣裙 大胸 提褶边,"(best_quality:1.3), (masterpiece), 1girl, 18 years-old, (A sexy dress:1.2), White dress, Lace skirt, Lift the hem, large breasts, ((((gold and silver lace)))), bow hairband, exquisite facial features, prefect face, serene expression, intricate adorable beautiful face, extremely detailed gorgeous tiara, White headband, hair ornaments, breeze, river, dance, cowboy shot, ",
白毛 黑白连衣裙 大胸,"1girl, (masterpiece), (best_quality:1.3), 18 years-old, dress, (((black and white melt))), large breasts, exquisite facial features, prefect face, serene expression, clear blue transparent sky, intricate adorable beautiful face, hair ornaments, ((white thighhighs with Four-pointed star pattern embellishment without shoes)), very delicate light, nature, breeze, flowers and grass meadow, near the water edge, starry sky in a circle), randomly distributed clouds, river, falling petals, extremely detailed gorgeous tiara, Floating with golden light, 8k,",
